viral_NCBI_refname,description
NC_034493.1," Capim virus strain BeAn 8582 segment M polyprotein gene, complete cds"
NC_034483.1," Capim virus strain BeAn 8582 segment S nucleocapsid protein gene, complete cds"
NC_008032.1," Capra hircus papillomavirus type 1, complete genome"
NC_022007.1," Capraria yellow spot Yucatan virus segment DNA-A, complete sequence"
NC_022008.1," Capraria yellow spot Yucatan virus segment DNA-B, complete sequence"
NC_011051.1," Capreolus capreolus papillomavirus 1, complete genome"
NC_001463.1," Caprine arthritis-encephalitis virus, complete genome"
NC_023422.1," Caprine kobuvirus isolate 12Q108, complete genome"
NC_028362.1," Caprine parainfluenza virus 3 strain JS2013, complete genome"
NC_040662.1, Capsicum annuum amalgavirus 1 strain CaAV1-CM334 genomic sequence
NC_008302.1," Capsicum chlorosis virus segment L, complete sequence"
NC_008303.1," Capsicum chlorosis virus segment M, complete sequence"
NC_008301.1," Capsicum chlorosis virus segment S, complete sequence"
NC_043528.1," Capuchin monkey hepatitis B virus isolate M12, complete genome"
NC_038285.1," Carajas virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds"
NC_034489.1," Caraparu virus strain BeAn3994 RNA-dependent RNA polymerase gene, complete cds"
NC_034477.1," Caraparu virus strain BeAn3994 polyprotein gene, complete cds"
NC_034478.1," Caraparu virus strain BeAn3994 nucleocapsid protein and nonstructural protein genes, complete cds"
NC_001600.1," Cardamine chlorotic fleck virus, complete genome"
NC_022919.1," Cardamom bushy dwarf virus satellite clone Fr-X7, complete sequence"
NC_039088.1," Cardamom mosaic virus isolate KS, complete genome"
NC_020067.1," Cardioderma polyomavirus isolate KY336, complete genome"
NC_010297.1," Cardiospermum yellow leaf curl virus satellite DNA beta, complete genome"
NC_011530.1," Caretta caretta papillomavirus 1, complete genome"
NC_024909.1," Caribou feces-associated gemycircularvirus, complete genome"
NC_034513.1," Carnation cryptic virus 3 segment RNA1, complete sequence"
NC_034523.1," Carnation cryptic virus 3 segment RNA2, complete sequence"
NC_003498.1," Carnation etched ring virus, complete genome"
NC_003500.3, Carnation Italian ringspot virus genomic sequence for ORF1-5
NC_001265.2, Carnation mottle virus (CarMV) complete genomic RNA sequence
NC_003530.1," Carnation ringspot virus fusion protein polymerase (p88K), p27K, p57K, capsid protein (p37K) and p11K genes, complete cds"
NC_003531.1," Carnation ringspot virus RNA 2, complete sequence"
NC_022978.1," Carnation yellow fleck virus, complete genome"
NC_028120.1," Carollia perspicillata polyomavirus 1 isolate C1109, complete genome"
NC_023162.1," Carp picornavirus 1 isolate F37/06, complete genome"
NC_002803.1," Spring viraemia of carp virus, complete genome"
NC_025469.1," Carrot betaflexivirus 1 isolate CBV-1_S20 ORF1, ORF2, and ORF3 genes, complete cds"
NC_025468.1," Carrot betaflexivirus 2 isolate CBV-2_S15 ORF1, ORF2, and ORF3 genes, complete cds"
NC_038824.1," Carrot cryptic virus segment RNA 1 RNA-dependent RNA polymerase gene, complete cds"
NC_038823.1," Carrot cryptic virus segment RNA 2 coat protein gene, complete cds"
NC_030648.1," Carrot mottle mimic virus satellite RNA, complete sequence"
NC_001726.1," Carrot mottle mimic umbravirus (CMoMV) dsRNA1, complete genome"
NC_030649.1," Carrot mottle virus satellite RNA, complete sequence"
NC_011515.1," Carrot mottle virus isolate Weddel, complete genome"
NC_038320.1," Carrot necrotic dieback virus strain Anthriscus, complete genome"
NC_003871.1," Carrot red leaf luteovirus associated RNA clone a25 putative RNA dependent RNA polymerase, complete cds"
NC_006265.1," Carrot red leaf virus, complete genome"
NC_025254.1," Carrot thin leaf virus isolate CTLV-Cs, complete genome"
NC_025479.2," Carrot torradovirus 1, RNA2, complete sequence"
NC_025480.2," Carrot torradovirus 1, RNA2, complete sequence"
NC_013007.1," Carrot yellow leaf virus, complete genome"
NC_004288.1," Casphalia extranea densovirus, complete genome"
NC_023844.1," Cassava associated gemycircularvirus 1 isolate G14, complete genome"
NC_012698.2," Cassava brown streak virus, complete genome"
NC_001658.1," Cassava common mosaic virus, complete genome"
NC_025482.1," Cassava Ivorian bacilliform virus strain SCRI-CV1 putative replicase mRNA, complete cds"
NC_025483.1," Cassava Ivorian bacilliform virus strain SCRI-CV1 putative polymerase mRNA, complete cds"
NC_025484.1," Cassava Ivorian bacilliform virus strain SCRI-CV1 putative movement protein and putative coat protein mRNAs, complete cds"
NC_018628.1," Cassava mosaic Madagascar alphasatellite rep gene for replication associated protein, segment DNA-1, isolate MG:Diana:635A1:2011"
NC_017004.1," Cassava mosaic Madagascar virus DNA A, complete genome"
NC_017005.1," Cassava mosaic Madagascar virus DNA B, complete genome"
NC_033817.1," Cassava satellite virus isolate Casatv_Br, complete genome"
NC_001648.1," Cassava vein mosaic virus, complete genome"
NC_013111.1, Cassava virus C
NC_013112.1, Cassava virus C
NC_013113.1, Cassava virus C
NC_034375.1," Cassava virus X isolate Ven164 RNA-dependent RNA polymerase (RdRp), triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), and coat protein (CP) genes, complete cds"
NC_006999.2," Cassia yellow blotch virus RNA1, complete sequence"
NC_007000.2," Cassia yellow blotch virus RNA2, complete sequence"
NC_007001.1," Cassia yellow blotch virus RNA3, complete sequence"
NC_034569.1," Castlerea virus isolate P59341, complete genome"
NC_023178.1," Castor canadensis papillomavirus type 1 isolate CcanPV1, complete genome"
NC_023986.1," Casuarina virus isolate 0071, complete genome"
NC_018484.1," CAS virus segment L, complete genome"
NC_018481.1," CAS virus segment S, complete genome"
NC_027210.1," Catharanthus mosaic virus isolate Mandevilla-US, complete genome"
NC_025964.1," Catharanthus yellow mosaic virus complete genome, isolate DR-151"
NC_030240.1," Catopsilia pomona nucleopolyhedrovirus isolate 416, complete genome"
NC_024076.1," Cat Que Virus strain VN04-2108 polymerase gene, complete cds"
NC_024074.1," Cat Que Virus strain VN04-2108 polyprotein gene, complete cds"
NC_024075.1," Cat Que Virus strain VN04-2108 nucleoprotein gene, complete cds"
NC_040553.1," Cattle blood-associated circovirus-like virus strain Bvch001, complete genome"
NC_040810.1," Cattle blood-associated circovirus-like virus strain Bvch002, complete genome"
NC_040351.1," Cattle blood-associated gemycircularvirus strain BGmv002, complete genome"
NC_038728.1," Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds"
NC_038727.1," Catu virus strain BeH 151 polyprotein gene, complete cds"
NC_038726.1," Catu virus strain BeH 151 nucleocapsid protein gene, complete cds"
NC_038325.1," Caucasus prunus virus isolate Aze204, complete genome"
NC_001497.2," Cauliflower mosaic virus, complete genome"
NC_048045.1," Caulobacter phage CcrBL10, complete genome"
NC_048047.1," Caulobacter phage CcrBL9, complete genome"
NC_019406.1," Caulobacter phage CcrColossus, complete genome"
NC_048046.1," Caulobacter phage CcrPW, complete genome"
NC_048048.1," Caulobacter phage CcrSC, complete genome"
NC_025422.1," Caulobacter phage Cr30, complete genome"
NC_047860.1," Caulobacter phage Lullwater, complete genome"
NC_029092.1," Caulobacter phage Percy, complete genome"
NC_019453.1," Caulobacter phage phiCb5, complete genome"
NC_047756.1," Caulobacter phage Sansa, complete genome"
NC_047757.1," Caulobacter phage Seuss, complete genome"
NC_019410.1," Caulobacter phage CcrKarma, complete genome"
NC_019407.1," Caulobacter phage CcrMagneto, complete genome"
NC_019405.1," Caulobacter phage phiCbK, complete genome"
NC_019408.1," Caulobacter phage CcrRogue, complete genome"
NC_019411.1," Caulobacter phage CcrSwift, complete genome"
NC_015668.1," Cavally virus, complete genome"
NC_020231.1," Caviid herpesvirus 2 strain 21222, complete genome"
NC_019854.2," Cebus albifrons polyomavirus 1, complete genome"
NC_025351.1," Cedar virus isolate CG1a, complete genome"
NC_018280.1," Celeribacter phage P12053L, complete genome"
NC_015393.1," Celery mosaic virus, complete genome"
NC_001564.2," Cell fusing agent virus strain Galveston, complete genome"
NC_021802.1," Cellulophaga phage phi10:1, complete genome"
NC_021791.1," Cellulophaga phage phi12:1, complete genome"
NC_021797.1," Cellulophaga phage phi12:2, complete genome"
NC_021805.1," Cellulophaga phage phi12a:1, complete genome"
NC_021803.1," Cellulophaga phage phi13:2, complete genome"
NC_021806.1," Cellulophaga phage phi14:2, complete genome"
NC_021795.1," Cellulophaga phage phi17:1, complete genome"
NC_021798.1," Cellulophaga phage phi17:2, complete genome"
NC_021790.1," Cellulophaga phage phi18:1, complete genome"
NC_021794.1," Cellulophaga phage phi18:3, complete genome"
NC_021799.1," Cellulophaga phage phi19:1, complete genome"
NC_021789.1," Cellulophaga phage phi19:3, complete genome"
NC_021796.1," Cellulophaga phage phi38:1, complete genome"
NC_021804.1," Cellulophaga phage phi39:1, complete genome"
NC_021788.1," Cellulophaga phage phi4:1, complete genome"
NC_021800.1," Cellulophaga phage phi46:1, complete genome"
NC_021792.1," Cellulophaga phage phi46:3, complete genome"
NC_021793.1," Cellulophaga phage phi48:2, complete genome"
NC_020860.1, Cellulophaga phage phiSM genomic sequence
NC_020842.1, Cellulophaga phage phiST genomic sequence
NC_031687.1," Centovirus AC, complete genome"
NC_039024.1," Central cimpanzee simian foamy virus isolate BAD327, complete genome"
NC_016998.1," Centrosema yellow spot virus DNA-A, complete genome"
NC_031462.1," Ceratobasidium endornavirus A isolate Murdoch-1 polyprotein gene, complete cds"
NC_031463.1," Ceratobasidium endornavirus B isolate Murdoch-2 polyprotein and ORF2 genes, complete cds"
NC_031461.1," Ceratobasidium endornavirus C isolate Murdoch-3 polyprotein and ORF2 genes, complete cds"
NC_031449.1," Ceratobasidium endornavirus D isolate Murdoch-4 polyprotein gene, complete cds"
NC_031464.1," Ceratobasidium endornavirus G isolate Murdoch-7 polyprotein and ORF2 genes, complete cds"
NC_010705.1," Ceratocystis polonica partitivirus segment 1, complete genome"
NC_010706.1," Ceratocystis polonica partitivirus, complete genome"
NC_010755.1," Ceratocystis resinifera partitivirus RNA 1, complete sequence"
NC_010754.1," Ceratocystis resinifera partitivirus RNA 2, complete sequence"
NC_006560.1," Cercopithecine herpesvirus 2, complete genome"
NC_002686.2," Cercopithecine herpesvirus 9, complete genome"
NC_012783.2," Cercopithecine herpesvirus 5 strain 2715, complete genome"
NC_025892.1," Cercopithecus erythrotis polyomavirus 1 isolate 4077, complete genome"
NC_002198.2," Cereal yellow dwarf virus-RPS, complete genome"
NC_003533.1," Cereal yellow dwarf virus-RPV satellite RNA, complete genome"
NC_004751.1," Cereal yellow dwarf virus-RPV, complete genome"
NC_039042.1," Cervus elaphus papillomavirus type 2, complete genome"
NC_030151.1," Cervus papillomavirus 2 isolate BernieDPV, complete genome"
NC_004324.3," Cestrum yellow leaf curling virus, complete genome"
NC_034550.1," Chaco virus nucleoprotein, hypothetical protein, phosphoprotein, matrix, hypothetical protein, glycoprotein, hypothetical protein, and polymerase genes, complete cds"
NC_020065.1," Chaerephon polyomavirus 1 isolate KY397, complete genome"
NC_007193.2," Chaetoceros protobacilladnavirus 1 DNA, complete genome"
NC_015211.1," Chaetoceros protobacilladnavirus 3 DNA, complete genome"
NC_014748.1," Chaetoceros protobacilladnavirus 4 DNA, complete genome"
NC_043432.1," Chaetoceros setoense DNA virus DNA, complete genome"
NC_012212.1," Chaetoceros socialis f. radians RNA virus segment 1, complete genome"
NC_023441.1," Chaetoceros sp. DNA virus 7 genes for putative replication-associated protein, hypothetical proteins, complete cds, isolate: Csp07DNAV"
NC_025893.1," Chaetoceros tenuissimus DNA virus type-II DNA, complete genome, isolate: SS10-8V"
NC_038321.1," Chaetoceros tenuissimus RNA virus genes for replicase polyprotein, structural polyprotein, complete cds"
NC_025889.1," Chaetoceros tenuissimus RNA virus type-II DNA, nearly complete genome, isolate: SS10-16V"
NC_005883.1," Chalara elegans RNA Virus 1, complete genome"
NC_030136.1," Chamois faeces associated circular DNA virus 1 isolate 62_chamois, complete sequence"
NC_020805.1," Chandipura virus isolate CIN 0451, complete genome"
NC_015374.1," Candiru virus segment L, complete genome"
NC_015373.1," Candiru virus segment M, complete genome"
NC_015375.1," Candiru virus segment S, complete genome"
NC_032893.1," Changjiang astro-like virus strain CJLX30757 putative protease, hypothetical protein, RNA-dependent RNA polymerase, and putative capsid protein genes, complete cds"
NC_032874.1," Changjiang crawfish virus 1 strain CJLX30787 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032850.1," Changjiang crawfish virus 2 strain CJLX30764 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032868.1," Changjiang crawfish virus 3 strain CJLX30786 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032198.1," Changjiang crawfish virus 4 strain CLX8819 hypothetical protein gene, complete cds"
NC_032740.1," Changjiang crawfish virus 5 strain CJLX22437 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032801.1," Changjiang crawfish virus 6 strain CJLX30496 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033052.1," Changjiang crawfish virus 7 strain CJLX29643 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033039.1," Changjiang hepe-like virus 1 strain CJLX30636 replicase and hypothetical protein genes, complete cds"
NC_033118.1," Changjiang narna-like virus 1 strain CJLX30050 RNA-dependent RNA polymerase gene, complete cds"
NC_033111.1," Changjiang narna-like virus 2 strain CJLX29055 RNA-dependent RNA polymerase and putative capsid protein genes, complete cds"
NC_033124.1," Changjiang narna-like virus 3 strain CJLX30350 RNA-dependent RNA polymerase and hypothetical protein genes, complete cds"
NC_033143.1," Changjiang narna-like virus 4 strain CJLX30771 RNA-dependent RNA polymerase gene, complete cds"
NC_032823.1," Changjiang picorna-like virus 10 strain CJLX30646 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032833.1," Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032779.1," Changjiang picorna-like virus 12 strain CJLX29956 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032879.1," Changjiang picorna-like virus 13 strain CJLX40994 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032773.1," Changjiang picorna-like virus 14 strain CJLX29953 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032816.1," Changjiang picorna-like virus 15 strain CJLX30633 hypothetical protein gene, complete cds"
NC_032737.1," Changjiang picorna-like virus 16 strain CJLX20820 hypothetical protein gene, complete cds"
NC_032179.1," Changjiang picorna-like virus 1 strain CJLX30149 hypothetical protein gene, complete cds"
NC_032788.1," Changjiang picorna-like virus 2 strain CJLX30436 hypothetical protein gene, complete cds"
NC_032755.1," Changjiang picorna-like virus 3 strain CJLX28786 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032761.1," Changjiang picorna-like virus 4 strain CJLX29654 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032845.1," Changjiang picorna-like virus 5 strain CJLX30750 hypothetical protein gene, complete cds"
NC_032794.1," Changjiang picorna-like virus 6 strain CJLX30470 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032860.1," Changjiang picorna-like virus 7 strain CJLX30780 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032855.1," Changjiang picorna-like virus 8 strain CJLX30776 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032749.1," Changjiang picorna-like virus 9 strain CJLX26226 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033018.1," Changjiang polero-like virus 1 strain CJLX30310 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033011.1," Changjiang sobemo-like virus 1 strain CJLX29826 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033029.1," Changjiang sobemo-like virus 2 strain CJLX29674 replicase, hypothetical protein 2, and putative capsid protein genes, complete cds"
NC_033008.1," Changjiang tombus-like virus 10 strain CJLX21891 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033191.1," Changjiang tombus-like virus 11 strain CJLX30677 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033042.1," Changjiang tombus-like virus 12 strain CJLX27860 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033096.1," Changjiang tombus-like virus 14 strain CJLX30318 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032230.1," Changjiang tombus-like virus 15 strain CJLX30583 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033016.1," Changjiang tombus-like virus 16 strain CJLX25258 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033123.1," Changjiang tombus-like virus 17 strain CJLX30686 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033002.1," Changjiang tombus-like virus 18 strain CJLX21588 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032997.1," Changjiang tombus-like virus 19 strain CJLX57318 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033028.1," Changjiang tombus-like virus 1 strain CJLX26263 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033155.1," Changjiang tombus-like virus 20 strain CJLX30731 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032991.1," Changjiang tombus-like virus 21 strain CJLX8746 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033199.1," Changjiang tombus-like virus 22 strain CJLX30074 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033135.1," Changjiang tombus-like virus 2 strain CJLX30692 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033104.1," Changjiang tombus-like virus 3 strain CJLX30495 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_033076.1," Changjiang tombus-like virus 4 strain CJLX30236 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033169.1," Changjiang tombus-like virus 5 strain CJLX42586 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033142.1," Changjiang tombus-like virus 6 strain CJLX30707 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033183.1," Changjiang tombus-like virus 7 strain CJLX49320 hypothetical protein 2 and hypothetical protein 3 genes, complete cds"
NC_033063.1," Changjiang tombus-like virus 8 strain CJLX29920 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033161.1," Changjiang tombus-like virus 9 strain CJLX30737 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033181.1," Changjiang zhaovirus-like virus 1 strain CJLX30599 polyprotein gene, complete cds"
NC_032881.1," Changping earthworm virus 1 strain CPQY105740 hypothetical protein gene, complete cds"
NC_033319.1," Changping earthworm virus 2 strain CPQY18140 segment 1 RNA-dependent RNA polymerase gene, complete cds"
NC_033320.1," Changping earthworm virus 2 strain CPQY18140 segment 2 hypothetical protein gene, complete cds"
NC_033321.1," Changping earthworm virus 2 strain CPQY18140 segment 3 putative glycoprotein 1 gene, complete cds"
NC_033323.1," Changping earthworm virus 2 strain CPQY18140 segment 4 putative glycoprotein 2 gene, complete cds"
NC_033322.1," Changping earthworm virus 2 strain CPQY18140 segment 5 hypothetical protein gene, complete cds"
NC_033324.1," Changping earthworm virus 2 strain CPQY18140 segment 6 hypothetical protein genes, complete cds"
NC_028260.1," Changping Tick Virus 2 strain CP1-4, complete genome"
NC_028261.1," Changping Tick Virus 3 strain CP1-3, complete genome"
NC_022639.1," Changuinola virus isolate CGLV/BE AN 28873 segment 1, complete sequence"
NC_022633.1," Changuinola virus isolate CGLV/BE AN 28873 segment 2, complete sequence"
NC_022634.1," Changuinola virus isolate CGLV/BE AN 28873 segment 3, complete sequence"
NC_022640.1," Changuinola virus isolate CGLV/BE AN 28873 segment 4, complete sequence"
NC_022635.1," Changuinola virus isolate CGLV/BE AN 28873 segment 5, complete sequence"
NC_022641.1," Changuinola virus isolate CGLV/BE AN 28873 segment 6, complete sequence"
NC_022636.1," Changuinola virus isolate CGLV/BE AN 28873 segment 7, complete sequence"
NC_022637.1," Changuinola virus isolate CGLV/BE AN 28873 segment 8, complete sequence"
NC_022642.1," Changuinola virus isolate CGLV/BE AN 28873 segment 9, complete sequence"
NC_022638.1," Changuinola virus isolate CGLV/BE AN 28873 segment 10, complete sequence"
NC_017086.1," Chaoyang virus, complete genome"
NC_010563.1," Chapare virus segment L, complete sequence"
NC_010562.1," Chapare virus segment S, complete sequence"
NC_002588.1," Chayote mosaic virus, complete genome"
NC_030309.1," Chayote yellow mosaic Benin betasatellite isolate Cameroon-Kumba-Papaya-20-14, complete sequence"
NC_004618.1," Chayote yellow mosaic virus, complete genome"
NC_038440.1," Chenopodium leaf curl virus, complete genome"
NC_040543.1," Chenopodium quinoa mitovirus 1 isolate Che1, complete genome"
NC_027534.1," Chenuda virus isolate EGY1954/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds"
NC_027535.1," Chenuda virus isolate EGY1954/01 segment 2 inner core protein (VP2) gene, complete cds"
NC_027536.1," Chenuda virus isolate EGY1954/01 segment 3 capping enzyme (VP3) gene, complete cds"
NC_027537.1," Chenuda virus isolate EGY1954/01 segment 4 outer capsid protein (VP4) gene, complete cds"
NC_027538.1," Chenuda virus isolate EGY1954/01 segment 5 tubule protein (NS1) gene, complete cds"
NC_027548.1," Chenuda virus isolate EGY1954/01 segment 6 outer capsid protein 2 (VP5) gene, complete cds"
NC_027549.1," Chenuda virus isolate EGY1954/01 segment 7 viral inclusion body protein (NS2) gene, complete cds"
NC_027550.1," Chenuda virus isolate EGY1954/01 segment 8 major core protein (VP7) gene, complete cds"
NC_027551.1," Chenuda virus isolate EGY1954/01 segment 9 helicase (VP6) and NS4 protein (NS4) genes, complete cds"
NC_027552.1," Chenuda virus isolate EGY1954/01 segment 10 NS3 protein (NS3) and NS3a protein (NS3a) genes, complete cds"
NC_036389.1," Chequa iflavirus isolate A14-49.4, complete genome"
NC_026943.1," Cherax quadricarinatus densovirus non-structural protein 3, non-structural protein 1 (NS1), non-structural protein 2 (NS2), and viral protein (VP) genes, complete cds"
NC_040612.1," Cherax quadricarinatus iridovirus strain CQIV-CN01, complete genome"
NC_031800.1," Cherry associated luteovirus, complete genome"
NC_001946.1," Sour cherry green ring mottle virus, complete genome"
NC_015414.1," Cherry leaf roll virus RNA1, complete genome"
NC_015415.1," Cherry leaf roll virus RNA2, complete genome"
NC_022893.1," Cherry leaf scorch small circular viroid-like RNA 1 isolate es.10, complete sequence"
NC_002500.1," Cherry mottle leaf virus, complete genome"
NC_002468.1," Cherry necrotic rusty mottle virus, complete genome"
NC_006271.1," Cherry rasp leaf virus, complete genome"
NC_006272.1," Cherry rasp leaf virus RNA2, complete sequence"
NC_020996.1," Cherry rusty mottle associated virus isolate 95CI192R3, complete genome"
NC_028271.1," Cherry small circular viroid-like RNA 1 isolate cscRNA1.84, complete genome"
NC_024449.1," Cherry twisted leaf associated virus isolate CTLV_8431, complete genome"
NC_003689.1," Cherry virus A, complete genome"
NC_040561.1," Cherry virus Trakiya isolate PAI 2-29, complete genome"
NC_001427.1," Chicken anemia virus, complete genome"
NC_040639.1," Chicken associated cyclovirus 2 strain RS/BR/2015/4R, complete genome"
NC_039059.1," Chicken associated huchismacovirus 1, complete genome"
NC_039060.1," Chicken associated huchismacovirus 2, complete genome"
NC_033275.1," Chicken associated smacovirus strain RS/BR/2015/4, complete genome"
NC_003790.1," Chicken astrovirus, complete genome"
NC_033081.1," Chicken calicivirus strain RS/BR/2015, complete genome"
NC_024770.1," Chicken gallivirus 1 isolate 518C, complete genome"
NC_039235.1," Chicken megrivirus strain chicken/B21-CHV/2012/HUN, complete genome"
NC_025432.1," Chicken orivirus 1 strain chicken/Pf-CHK1/2013/HUN, complete genome"
NC_024452.1," Chicken parvovirus ABU-P1, complete genome"
NC_040438.1," Chicken picobirnavirus strain PBV/CHK/M3841/HUN/2011 segment RNA1, complete sequence"
NC_040439.1," Chicken picobirnavirus strain PBV/CHK/M3841/HUN/2011 segment RNA2, complete sequence"
NC_024765.1," Chicken picornavirus 1 isolate 55C, complete genome"
NC_024766.1," Chicken picornavirus 2 isolate 44C, complete genome"
NC_024767.1," Chicken picornavirus 3 isolate 45C, complete genome"
NC_024768.1," Chicken picornavirus 4 isolate 5C, complete genome"
NC_024769.1," Chicken picornavirus 5 isolate 27C, complete genome"
NC_028380.1," Chicken sicinivirus JSY, complete genome"
NC_040316.1," Chicken stool associated circular virus 1 strain RS/BR/2015/1R, complete genome"
NC_040315.1," Chicken stool associated circular virus 2 strain RS/BR/2015/1R, complete genome"
NC_033272.1," Chicken stool-associated circular virus strain RS/BR/2015, complete genome"
NC_033270.1," Chicken stool-associated gemycircularvirus strain RS/BR/2015, complete genome"
NC_022131.1," Chickpea chlorosis Australia virus isolate CpCV-D_AU_3494I_2002, complete genome"
NC_014740.1," Chickpea chlorosis virus-A, complete genome"
NC_011058.1," Chickpea chlorotic dwarf virus, complete genome"
NC_008249.1," Chickpea chlorotic stunt virus, complete genome"
NC_014739.1," Chickpea redleaf virus, complete genome"
NC_025475.1," Chickpea yellow dwarf virus isolate CpYDV-PK_PK103_2012, complete genome"
NC_038478.1," Chickpea yellows mastrevirus isolate CpYV_AU_3489B_2002, complete genome"
NC_003778.1," Chicory yellow mottle virus large satellite RNA, complete genome"
NC_003971.1," Chicory yellow mottle virus satellite RNA, complete genome"
NC_004162.2," Chikungunya virus, complete genome"
NC_005048.1," Chilli leaf curl disease associated sequence virion, complete genome"
NC_021345.1," Chili leaf curl Bhatinda betasatellite isolate AnAv, complete sequence"
NC_038676.1," Chili leaf curl Sri Lanka betasatellite isolate CL-15, complete sequence"
NC_028046.1," Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014], complete genome"
NC_039234.1," Chilli leaf curl alphasatellite clone VIRO 273, complete sequence"
NC_027431.1," Chilli leaf curl India alphasatellite clone VIRO 391, complete sequence"
NC_038875.1," Chilli leaf curl India virus segment A, complete genome"
NC_038441.1," Chilli leaf curl Kanpur virus [India/Kanpur/2008] clone pChKanB19 segment DNA-A, complete sequence"
NC_013103.1," Chilli leaf curl Multan alphasatellite, complete genome"
NC_038442.1," Chilli Leaf curl Vellanad virus [India/Vellanad/2008] clone pChVelK52 segment DNA-A, complete sequence"
NC_004628.1," Chilli leaf curl virus, complete genome"
NC_016044.1," Chilli ringspot virus, complete genome"
NC_005778.1," Chilli veinal mottle virus, complete genome"
NC_014127.1," Chiltepin yellow mosaic virus, complete genome"
NC_027196.1," CHIV14 isolate 1 putative capsid protein (cap) and putative replication protein (rep) genes, complete cds"
NC_043434.1," Chim virus strain LEIV-858Uz segment L RNA-dependent RNA-polymerase gene, partial cds"
NC_043436.1," Chim virus strain LEIV-858Uz segment M glycoprotein precursor, gene, partial cds"
NC_043435.1," Chim virus strain LEIV-858Uz segment S nucleocapsid protein gene, partial cds"
NC_017825.1," Chimpanzee adenovirus Y25, complete genome"
NC_039068.1," Chimpanzee associated porprismacovirus 1 isolate DP152, complete genome"
NC_039069.1," Chimpanzee associated porprismacovirus 2 isolate GM495, complete genome"
NC_030461.1," Chimpanzee faeces associated circular DNA molecule 1 isolate CPNG_29268, complete genome"
NC_030466.1," Chimpanzee faeces associated circular DNA virus 1 isolate CPNG_29286, complete genome"
NC_030472.1," Chimpanzee faeces associated microphage 1 isolate CPNG_29298, complete genome"
NC_030476.1," Chimpanzee faeces associated microphage 2 isolate CPNG_29299, complete genome"
NC_030458.1," Chimpanzee faeces associated microphage 3 isolate CPNG_29300, complete genome"
NC_023677.1," Chimpanzee alpha-1 herpesvirus strain 105640, complete genome"
NC_014743.1," Chimpanzee polyomavirus Bob complete genome, isolate Bob"
